id,product_name,EAN,miso_artvonbonbonsanderensuesswaren,miso_artvonschokolade,miso_artvonsnackknabberartikel,miso_artvonzucker,miso_artvonspeiseoel,miso_artvonteigwarennudeln,miso_artvonverwendetemei,miso_artvonkraeuterngewuerzen,miso_artvonbearbeitetemgetreideprodukt,miso_artvonsaucedip,miso_artvonsalatsauce,miso_artvontrinkschokolade,miso_artvonerfrischungsgetraenk,miso_artvonkeksgebaeck,miso_artvonkuchen,miso_artvongebaeckpastete,miso_artvonummantelungfuellung,miso_artvonbrot,miso_artvonprodukt,miso_artvondessert,miso_artvonwasser,miso_artvonsportgetraenk,miso_artvonkrustentierenmuschelnschnecken,miso_artvonhonig,miso_artvoneingelegtemgemuesesauerkonserven,miso_artvonoliven,miso_artvonjoghurt,miso_artvonrahm,miso_artvonmilch,cat_5,cat_5_name,cat_4,cat_4_name,cat_3,cat_3_name,cat_2,cat_2_name,cat_1,cat_1_name
100105400000,Suprême Bouquet d'Oranges Noir,7616500904811,Schokoladentafel,Zartbitter,,,,,,,,,,,,,,,,,,,,,,,,,,,,BeSS_0101082101,Schokoladentafeln,BeSS_01010821,Schokolade,BeSS_010108,Süssigkeiten,BeSS_0101,Lebensmittel,BeSS_01,Supermarkt
100108800000,Mahony Orange,,Schokoladenriegel,Milchschokolade,,,,,,,,,,,,,,,,,,,,,,,,,,,,BeSS_0101082102,Schokoriegel & Branches,BeSS_01010821,Schokolade,BeSS_010108,Süssigkeiten,BeSS_0101,Lebensmittel,BeSS_01,Supermarkt
100110000000,Milch-Nuss,7616500011007,Schokoladentafel,Milchschokolade,,,,,,,,,,,,,,,,,,,,,,,,,,,,BeSS_0101082101,Schokoladentafeln,BeSS_01010821,Schokolade,BeSS_010108,Süssigkeiten,BeSS_0101,Lebensmittel,BeSS_01,Supermarkt
100117700000,Suprême Framboise,,Schokoladentafel,weisse Schokolade,,,,,,,,,,,,,,,,,,,,,,,,,,,,BeSS_0101082101,Schokoladentafeln,BeSS_01010821,Schokolade,BeSS_010108,Süssigkeiten,BeSS_0101,Lebensmittel,BeSS_01,Supermarkt
100121300000,Noir Spécial 72% Cacao,7616500012134,Schokoladentafel,Dunkle Schokolade,,,,,,,,,,,,,,,,,,,,,,,,,,,,BeSS_0101082101,Schokoladentafeln,BeSS_01010821,Schokolade,BeSS_010108,Süssigkeiten,BeSS_0101,Lebensmittel,BeSS_01,Supermarkt
100121700000,Noir Spécial 72% ohne Zuckerzusatz,7616500671508,Schokoladentafel,Dunkle Schokolade,,,,,,,,,,,,,,,,,,,,,,,,,,,,BeSS_0101082101,Schokoladentafeln,BeSS_01010821,Schokolade,BeSS_010108,Süssigkeiten,BeSS_0101,Lebensmittel,BeSS_01,Supermarkt
100124100000,Mahony Milk,7616500012417,Schokoladenriegel,Milchschokolade,,,,,,,,,,,,,,,,,,,,,,,,,,,,BeSS_0101082102,Schokoriegel & Branches,BeSS_01010821,Schokolade,BeSS_010108,Süssigkeiten,BeSS_0101,Lebensmittel,BeSS_01,Supermarkt
100124200000,Mahony White,,Schokoladenriegel,weisse Schokolade,,,,,,,,,,,,,,,,,,,,,,,,,,,,BeSS_0101082102,Schokoriegel & Branches,BeSS_01010821,Schokolade,BeSS_010108,Süssigkeiten,BeSS_0101,Lebensmittel,BeSS_01,Supermarkt
100124500000,Milch Extra,7616500012455,Schokoladentafel,Milchschokolade,,,,,,,,,,,,,,,,,,,,,,,,,,,,BeSS_0101082101,Schokoladentafeln,BeSS_01010821,Schokolade,BeSS_010108,Süssigkeiten,BeSS_0101,Lebensmittel,BeSS_01,Supermarkt
100125000000,Tourist,7616500012509,Schokoladentafel,Milchschokolade,,,,,,,,,,,,,,,,,,,,,,,,,,,,BeSS_0101082101,Schokoladentafeln,BeSS_01010821,Schokolade,BeSS_010108,Süssigkeiten,BeSS_0101,Lebensmittel,BeSS_01,Supermarkt
100126700000,Mahony Dark 55%,7616500912922,Schokoladenriegel,Edelschokolade,,,,,,,,,,,,,,,,,,,,,,,,,,,,BeSS_0101082102,Schokoriegel & Branches,BeSS_01010821,Schokolade,BeSS_010108,Süssigkeiten,BeSS_0101,Lebensmittel,BeSS_01,Supermarkt
